"gene_id","ref_id","transcript_id","adj.p","dPSI","time"
"MSTRG.251","Solyc01g005120.3","MSTRG.251.1",4.56728468749835e-08,-0.115394903189288,90
"MSTRG.251","Solyc01g005120.3","MSTRG.251.1",1.05520311880692e-09,-0.128511978406536,105
"MSTRG.251","Solyc01g005120.3","MSTRG.251.1",5.03491486798483e-10,-0.134159186077034,120
"MSTRG.251","Solyc01g005120.3","Solyc01g005120.3.1",4.56728468749835e-08,0.115394903189288,90
"MSTRG.251","Solyc01g005120.3","Solyc01g005120.3.1",1.05520311880692e-09,0.128511978406536,105
"MSTRG.251","Solyc01g005120.3","Solyc01g005120.3.1",5.03491486798483e-10,0.134159186077034,120
"MSTRG.389","Solyc01g006510.3","MSTRG.389.1",7.78351339078799e-06,-0.114847863480247,90
"MSTRG.389","Solyc01g006510.3","MSTRG.389.1",2.83014949808004e-05,-0.101016997396774,105
"MSTRG.389","Solyc01g006510.3","Solyc01g006510.3.1",7.78351339078799e-06,0.114847863480247,90
"MSTRG.389","Solyc01g006510.3","Solyc01g006510.3.1",2.83014949808004e-05,0.101016997396774,105
"MSTRG.441","Solyc01g007110.3","MSTRG.441.3",4.8568769313899e-09,-0.269414653716577,5
"MSTRG.441","Solyc01g007110.3","MSTRG.441.3",8.31894678583707e-10,-0.307651041298207,10
"MSTRG.441","Solyc01g007110.3","MSTRG.441.3",6.41452671750558e-07,-0.208846967738794,15
"MSTRG.441","Solyc01g007110.3","MSTRG.441.3",6.66788369758972e-05,-0.158782535029185,20
"MSTRG.441","Solyc01g007110.3","MSTRG.441.3",0.000517244041661452,-0.127628886977082,25
"MSTRG.441","Solyc01g007110.3","Solyc01g007110.3.1",1.34311005221057e-09,0.282324597157863,5
"MSTRG.441","Solyc01g007110.3","Solyc01g007110.3.1",4.53346404427084e-10,0.321809418345123,10
"MSTRG.441","Solyc01g007110.3","Solyc01g007110.3.1",6.41452671750558e-07,0.217553063202793,15
"MSTRG.441","Solyc01g007110.3","Solyc01g007110.3.1",1.37556291750357e-05,0.175386252634343,20
"MSTRG.585","Solyc01g009160.2","MSTRG.585.1",7.08933905906964e-05,0.249172280569389,5
"MSTRG.585","Solyc01g009160.2","MSTRG.585.1",0.000183678131138618,0.218225188869679,10
"MSTRG.585","Solyc01g009160.2","MSTRG.585.1",6.0698486285692e-07,0.351673446027229,20
"MSTRG.585","Solyc01g009160.2","Solyc01g009160.2.1",7.08933905906964e-05,-0.249172280569388,5
"MSTRG.585","Solyc01g009160.2","Solyc01g009160.2.1",0.000183678131138618,-0.218225188869679,10
"MSTRG.585","Solyc01g009160.2","Solyc01g009160.2.1",6.0698486285692e-07,-0.351673446027229,20
"MSTRG.635","Solyc01g009780.3","MSTRG.635.2",1.81021876615307e-08,-0.212477343089587,5
"MSTRG.635","Solyc01g009780.3","MSTRG.635.2",1.7893134569783e-13,-0.295246815499033,10
"MSTRG.635","Solyc01g009780.3","MSTRG.635.2",4.78798600602396e-10,-0.230708749621257,15
"MSTRG.635","Solyc01g009780.3","MSTRG.635.2",0.000533169537064552,-0.122264567730495,80
"MSTRG.635","Solyc01g009780.3","MSTRG.635.2",7.73045313119524e-08,-0.215988777536922,120
"MSTRG.635","Solyc01g009780.3","Solyc01g009780.3.1",1.81021876615307e-08,0.212477343089587,5
"MSTRG.635","Solyc01g009780.3","Solyc01g009780.3.1",1.7893134569783e-13,0.295246815499033,10
"MSTRG.635","Solyc01g009780.3","Solyc01g009780.3.1",4.78798600602396e-10,0.230708749621257,15
"MSTRG.635","Solyc01g009780.3","Solyc01g009780.3.1",0.000533169537064552,0.122264567730495,80
"MSTRG.635","Solyc01g009780.3","Solyc01g009780.3.1",7.73045313119524e-08,0.215988777536922,120
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.2",0.000193364231941565,0.180275571504024,70
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.2",0.00253285078386958,0.161761982364893,80
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.2",1.37922448121907e-05,0.249004742777352,90
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.2",0.000168320326939298,0.193392298547143,105
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.2",0.000113089714685055,0.23867270551351,120
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.3",0.00860236162394552,-0.156300018495782,60
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.3",3.36236683570026e-06,-0.274940304234731,70
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.3",0.00253285078386958,-0.177490837536965,80
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.3",5.79344534556269e-07,-0.324384622940688,90
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.3",4.95555313198928e-06,-0.282133285457453,105
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.3",4.89420189053107e-05,-0.288877191485648,120
"MSTRG.1233","Solyc01g068000.4","MSTRG.1233.1",1.82030803371986e-05,-0.376852276049668,20
"MSTRG.1233","Solyc01g068000.4","MSTRG.1233.1",2.71590443898162e-06,-0.460021971143807,70
"MSTRG.1233","Solyc01g068000.4","MSTRG.1233.1",1.07983852229316e-05,-0.448507117948388,80
"MSTRG.1233","Solyc01g068000.4","MSTRG.1233.1",0.000123895305470887,-0.36561694019574,90
"MSTRG.1233","Solyc01g068000.4","MSTRG.1233.1",1.80455594914554e-06,-0.454569925952432,105
"MSTRG.1233","Solyc01g068000.4","MSTRG.1233.1",3.29832086690756e-05,-0.356042315710086,120
"MSTRG.1233","Solyc01g068000.4","Solyc01g068000.4.1",5.72380432917671e-09,0.426328627542497,20
"MSTRG.1233","Solyc01g068000.4","Solyc01g068000.4.1",2.71590443898162e-06,0.407228957638031,70
"MSTRG.1233","Solyc01g068000.4","Solyc01g068000.4.1",3.60349915474868e-05,0.393673458771144,80
"MSTRG.1233","Solyc01g068000.4","Solyc01g068000.4.1",0.00017280132521015,0.327750296222248,105
"MSTRG.1342","Solyc01g079600.4","MSTRG.1342.3",4.66815147641958e-05,0.33688270641163,90
"MSTRG.1342","Solyc01g079600.4","MSTRG.1342.3",5.00167839233509e-05,0.369018949075048,105
"MSTRG.1342","Solyc01g079600.4","MSTRG.1342.3",0.00067978726280894,0.30242791939015,120
"MSTRG.1507","Solyc01g081440.3","MSTRG.1507.1",5.76027474280591e-06,-0.192067810425765,20
"MSTRG.1507","Solyc01g081440.3","MSTRG.1507.1",2.44182819401764e-08,-0.234431892018526,40
"MSTRG.1507","Solyc01g081440.3","MSTRG.1507.1",7.09446668218881e-06,-0.202922059007161,50
"MSTRG.1507","Solyc01g081440.3","MSTRG.1507.1",0.000532142142482891,-0.139428669323506,70
"MSTRG.1507","Solyc01g081440.3","MSTRG.1507.1",3.07932766496506e-06,-0.193788130590164,80
"MSTRG.1507","Solyc01g081440.3","MSTRG.1507.1",2.35227024805433e-05,-0.171637350671766,90
"MSTRG.1507","Solyc01g081440.3","MSTRG.1507.1",3.07523873558006e-07,-0.226295305066673,105
"MSTRG.1507","Solyc01g081440.3","MSTRG.1507.1",2.21741035521897e-09,-0.272306958914714,120
"MSTRG.1507","Solyc01g081440.3","MSTRG.1507.3",5.76027474280591e-06,0.195694751381135,20
"MSTRG.1507","Solyc01g081440.3","MSTRG.1507.3",2.44182819401764e-08,0.2398934472049,40
"MSTRG.1507","Solyc01g081440.3","MSTRG.1507.3",7.09446668218881e-06,0.203529991019224,50
"MSTRG.1507","Solyc01g081440.3","MSTRG.1507.3",0.000532142142482891,0.13959376243038,70
"MSTRG.1507","Solyc01g081440.3","MSTRG.1507.3",3.20176093455249e-06,0.191052262678391,80
"MSTRG.1507","Solyc01g081440.3","MSTRG.1507.3",2.10827266183157e-05,0.183003391616675,90
"MSTRG.1507","Solyc01g081440.3","MSTRG.1507.3",3.37599803744399e-07,0.224286209055596,105
"MSTRG.1507","Solyc01g081440.3","MSTRG.1507.3",2.21741035521897e-09,0.27193174046595,120
"MSTRG.1718","Solyc01g088150.3","MSTRG.1718.1",4.11975900562401e-05,0.209574982249135,80
"MSTRG.1718","Solyc01g088150.3","MSTRG.1718.1",0.000529697012793854,0.181405250047339,90
"MSTRG.1718","Solyc01g088150.3","Solyc01g088150.3.1",4.11975900562401e-05,-0.209574982249135,80
"MSTRG.1718","Solyc01g088150.3","Solyc01g088150.3.1",0.000529697012793854,-0.181405250047339,90
"MSTRG.1983","Solyc01g094170.3","Solyc01g094170.3.1",0.000567712487288724,0.386617038901824,60
"MSTRG.1983","Solyc01g094170.3","Solyc01g094170.3.1",8.25774680678206e-06,0.530934707575854,70
"MSTRG.2052","Solyc01g094950.3","MSTRG.2052.2",8.45238788228264e-19,-0.240668277082426,10
"MSTRG.2052","Solyc01g094950.3","MSTRG.2052.2",2.81551251185861e-23,-0.266286602525858,15
"MSTRG.2052","Solyc01g094950.3","MSTRG.2052.2",2.15199353227876e-18,-0.233529195862088,20
"MSTRG.2052","Solyc01g094950.3","MSTRG.2052.2",9.40166351228204e-20,-0.247246182084751,25
"MSTRG.2052","Solyc01g094950.3","MSTRG.2052.2",5.96784562514751e-08,-0.148475091127518,30
"MSTRG.2052","Solyc01g094950.3","Solyc01g094950.3.1",3.86373068856389e-13,0.208273025491837,10
"MSTRG.2052","Solyc01g094950.3","Solyc01g094950.3.1",1.02871164814211e-20,0.258776246160503,15
"MSTRG.2052","Solyc01g094950.3","Solyc01g094950.3.1",1.18614580865072e-15,0.224087471544825,20
"MSTRG.2052","Solyc01g094950.3","Solyc01g094950.3.1",2.76571182694214e-15,0.226366852312068,25
"MSTRG.2052","Solyc01g094950.3","Solyc01g094950.3.1",8.08729402399413e-08,0.153741085248409,30
"MSTRG.2117","Solyc01g095630.3","MSTRG.2117.1",0.000211919341490299,0.166486995879906,80
