"gene_id","organ","event","time"
"lnc_RNA:Solyc04r022210.1","Shoot","A3SS","25, 60, 70"
"lnc_RNA:Solyc05r027730.1","Shoot","A3SS","10"
"Solyc01g005550.3","Shoot","A3SS","50, 60, 70, 80, 90, 105"
"Solyc01g005820.4","Shoot","A3SS","50, 60, 70, 90, 105"
"Solyc01g067270.4","Shoot","A3SS","60"
"Solyc01g068560.3","Shoot","A3SS","5"
"Solyc01g080280.3","Shoot","A3SS","40"
"Solyc01g086890.3","Shoot","A3SS","40"
"Solyc01g087260.4","Shoot","A3SS","80"
"Solyc01g091260.3","Shoot","A3SS","60, 70, 80, 90, 105"
"Solyc01g094210.2","Shoot","A3SS","80"
"Solyc01g095460.3","Shoot","A3SS","80, 90, 105"
"Solyc01g097500.4","Shoot","A3SS","60"
"Solyc01g098500.3","Shoot","A3SS","70"
"Solyc01g102950.3","Shoot","A3SS","60"
"Solyc01g103170.4","Shoot","A3SS","105"
"Solyc01g104370.4","Shoot","A3SS","90"
"Solyc01g105120.4","Shoot","A3SS","105"
"Solyc01g106430.3","Shoot","A3SS","90"
"Solyc02g005180.3","Shoot","A3SS","90"
"Solyc02g030130.4","Shoot","A3SS","40"
"Solyc02g066940.4","Shoot","A3SS","70, 105"
"Solyc02g069650.3","Shoot","A3SS","25"
"Solyc02g069860.4","Shoot","A3SS","15"
"Solyc02g078400.3","Shoot","A3SS","80, 90, 105"
"Solyc02g080780.3","Shoot","A3SS","80, 90, 105"
"Solyc02g082030.3","Shoot","A3SS","15"
"Solyc02g083810.4","Shoot","A3SS","105"
"Solyc02g085290.3","Shoot","A3SS","30, 40, 50, 60, 70, 80, 90, 105"
"Solyc02g085420.4","Shoot","A3SS","50"
"Solyc02g085570.4","Shoot","A3SS","70"
"Solyc02g085760.2","Shoot","A3SS","20"
"Solyc02g085950.4","Shoot","A3SS","30"
"Solyc02g086970.4","Shoot","A3SS","70"
"Solyc02g088350.4","Shoot","A3SS","90, 105"
"Solyc02g090130.4","Shoot","A3SS","80"
"Solyc02g091030.4","Shoot","A3SS","70, 105"
"Solyc02g091730.3","Shoot","A3SS","90"
"Solyc02g092700.3","Shoot","A3SS","30, 90"
"Solyc02g094150.4","Shoot","A3SS","105"
"Solyc03g005090.4","Shoot","A3SS","30"
"Solyc03g033450.4","Shoot","A3SS","70, 80, 90, 105"
"Solyc03g033560.3","Shoot","A3SS","30"
"Solyc03g034100.4","Shoot","A3SS","90"
"Solyc03g034220.3","Shoot","A3SS","40"
"Solyc03g044080.4","Shoot","A3SS","80"
"Solyc03g078000.3","Shoot","A3SS","5"
"Solyc03g093830.3","Shoot","A3SS","90"
"Solyc03g096850.4","Shoot","A3SS","90, 105"
"Solyc03g098620.3","Shoot","A3SS","15"
"Solyc03g110940.3","Shoot","A3SS","60, 70"
"Solyc03g111700.3","Shoot","A3SS","80"
"Solyc03g112910.3","Shoot","A3SS","90"
"Solyc03g113920.4","Shoot","A3SS","90"
"Solyc03g113970.4","Shoot","A3SS","90"
"Solyc03g114930.3","Shoot","A3SS","70, 80, 90, 105"
"Solyc04g009020.4","Shoot","A3SS","70, 80"
"Solyc04g009050.4","Shoot","A3SS","25, 60"
"Solyc04g025990.3","Shoot","A3SS","60, 105"
"Solyc04g051310.4","Shoot","A3SS","70, 80"
"Solyc04g051800.3","Shoot","A3SS","10"
"Solyc04g056340.4","Shoot","A3SS","30, 40, 50, 60, 90, 105"
"Solyc04g071340.5","Shoot","A3SS","20, 70, 80"
"Solyc04g072450.3","Shoot","A3SS","70"
"Solyc04g078090.3","Shoot","A3SS","15"
"Solyc04g080280.3","Shoot","A3SS","60, 70, 80, 90, 105"
"Solyc04g080900.3","Shoot","A3SS","105"
"Solyc05g005180.3","Shoot","A3SS","105"
"Solyc05g007880.4","Shoot","A3SS","25, 70"
"Solyc05g008060.4","Shoot","A3SS","70, 80, 90, 105"
"Solyc05g010180.4","Shoot","A3SS","15, 70, 105"
"Solyc05g016410.3","Shoot","A3SS","40, 50"
"Solyc05g052600.4","Shoot","A3SS","105"
"Solyc05g052630.4","Shoot","A3SS","50, 60"
"Solyc05g052950.4","Shoot","A3SS","60, 70, 80, 90, 105"
"Solyc05g053930.4","Shoot","A3SS","105"
"Solyc05g055430.4","Shoot","A3SS","105"
"Solyc05g150106.1","Shoot","A3SS","30"
"Solyc06g005160.4","Shoot","A3SS","90"
"Solyc06g005710.3","Shoot","A3SS","30"
"Solyc06g008960.3","Shoot","A3SS","70"
"Solyc06g009340.4","Shoot","A3SS","40, 50, 60, 70, 80, 90, 105"
"Solyc06g011530.3","Shoot","A3SS","90, 105"
"Solyc06g019200.4","Shoot","A3SS","105"
"Solyc06g036260.3","Shoot","A3SS","15"
"Solyc06g050230.4","Shoot","A3SS","105"
"Solyc06g050900.3","Shoot","A3SS","90, 105"
"Solyc06g051400.3","Shoot","A3SS","105"
"Solyc06g066640.3","Shoot","A3SS","20, 80"
"Solyc06g069090.3","Shoot","A3SS","90, 105"
"Solyc06g075080.4","Shoot","A3SS","90"
"Solyc06g075520.3","Shoot","A3SS","15, 20"
"Solyc06g076050.4","Shoot","A3SS","105"
"Solyc06g076400.3","Shoot","A3SS","90"
"Solyc06g150131.1","Shoot","A3SS","50"
"Solyc07g005510.3","Shoot","A3SS","50"
"Solyc07g008260.3","Shoot","A3SS","50"
"Solyc07g021700.3","Shoot","A3SS","70, 80, 90"
"Solyc07g022900.4","Shoot","A3SS","90, 105"
"Solyc07g043620.3","Shoot","A3SS","20"
"Solyc07g049720.4","Shoot","A3SS","80, 90, 105"
"Solyc07g052340.4","Shoot","A3SS","50"
"Solyc07g056540.3","Shoot","A3SS","80, 90, 105"
"Solyc07g063430.3","Shoot","A3SS","105"
"Solyc07g066610.3","Shoot","A3SS","5, 10"
"Solyc08g048240.4","Shoot","A3SS","80"
"Solyc08g069140.4","Shoot","A3SS","80"
"Solyc08g075680.4","Shoot","A3SS","105"
"Solyc08g079590.3","Shoot","A3SS","105"
"Solyc08g080830.3","Shoot","A3SS","105"
"Solyc08g082880.4","Shoot","A3SS","90, 105"
"Solyc08g083250.4","Shoot","A3SS","15, 20, 25, 30, 40, 50, 80, 90, 105"
"Solyc09g005260.4","Shoot","A3SS","105"
"Solyc09g010460.3","Shoot","A3SS","20"
"Solyc09g031750.4","Shoot","A3SS","40"
"Solyc09g059510.3","Shoot","A3SS","80, 90, 105"
"Solyc09g065180.3","Shoot","A3SS","50, 60, 70, 80, 90"
"Solyc09g074670.4","Shoot","A3SS","80"
"Solyc09g092120.4","Shoot","A3SS","105"
"Solyc10g006230.3","Shoot","A3SS","80"
"Solyc10g006250.3","Shoot","A3SS","10"
"Solyc10g007050.3","Shoot","A3SS","90"
"Solyc10g047270.2","Shoot","A3SS","90"
"Solyc10g055720.2","Shoot","A3SS","105"
"Solyc10g083350.2","Shoot","A3SS","105"
"Solyc10g083360.2","Shoot","A3SS","70, 80"
