gene_id	ref_id
MSTRG.4	Solyc00g500019.1
MSTRG.6	Solyc00g500020.1
MSTRG.7	Solyc00g500022.1
MSTRG.9	Solyc00g500049.1
MSTRG.10	Solyc00g500054.1
MSTRG.11	Solyc00g500063.1
MSTRG.13	Solyc00g500065.1
MSTRG.14	Solyc00g500066.1
MSTRG.15	Solyc00g500067.1
MSTRG.16	Solyc00g500071.1
MSTRG.20	Solyc00g500077.1
MSTRG.21	Solyc00g500079.1
MSTRG.22	Solyc00g500080.1
MSTRG.23	Solyc00g500083.1
MSTRG.25	Solyc00g500086.1
MSTRG.26	Solyc00g500087.1
MSTRG.27	Solyc00g500088.1
MSTRG.28	Solyc00g500094.1
MSTRG.29	Solyc00g500095.1
MSTRG.30	Solyc00g500102.1
MSTRG.32	Solyc00g022090.1
MSTRG.34	Solyc00g500104.1
MSTRG.37	Solyc00g015600.1
MSTRG.38	Solyc00g500123.1
MSTRG.40	Solyc00g500124.1
MSTRG.41	Solyc00g500125.1
MSTRG.42	Solyc00g500126.1
MSTRG.44	Solyc00g500130.1
MSTRG.45	Solyc00g500131.1
MSTRG.47	Solyc00g500133.1
MSTRG.48	Solyc00g500134.1
MSTRG.49	Solyc00g500135.1
MSTRG.50	Solyc00g500136.1
MSTRG.52	Solyc00g500140.1
MSTRG.55	Solyc00g500151.1
MSTRG.56	Solyc00g500152.1
MSTRG.57	Solyc00g500153.1
MSTRG.59	Solyc00g500154.1
MSTRG.60	Solyc00g500155.1
MSTRG.61	Solyc00g500156.1
MSTRG.62	Solyc00g500157.1
MSTRG.63	Solyc00g500158.1
MSTRG.68	lnc_RNA:Solyc00r000060.1
MSTRG.69	Solyc00g500166.1
MSTRG.70	Solyc00g500167.1
MSTRG.71	Solyc00g230080.1
MSTRG.72	Solyc00g316530.1
MSTRG.75	Solyc00g126010.1
MSTRG.76	Solyc00g126000.1
MSTRG.77	Solyc00g125990.1
MSTRG.78	Solyc00g125980.1
MSTRG.79	Solyc00g244300.1
MSTRG.80	Solyc00g244290.1
MSTRG.81	Solyc00g019750.1
MSTRG.82	Solyc00g019730.1
MSTRG.83	Solyc00g500181.1
MSTRG.84	Solyc00g118680.2
MSTRG.85	Solyc00g118690.1
MSTRG.86	Solyc00g014850.1
MSTRG.87	Solyc00g500183.1
MSTRG.88	Solyc00g500184.1
MSTRG.89	Solyc00g500185.1
MSTRG.90	Solyc00g500186.1
MSTRG.92	Solyc00g500187.1
MSTRG.93	Solyc00g500188.1
MSTRG.94	Solyc00g500189.1
MSTRG.95	Solyc00g500190.1
MSTRG.96	Solyc00g500191.1
MSTRG.100	Solyc00g500195.1
MSTRG.101	Solyc00g500199.1
MSTRG.102	Solyc00g500200.1
MSTRG.103	Solyc00g500201.1
MSTRG.104	Solyc00g500202.1
MSTRG.106	Solyc00g500206.1
MSTRG.107	Solyc00g500207.1
MSTRG.108	Solyc00g500208.1
MSTRG.110	Solyc00g500212.1
MSTRG.114	Solyc00g047200.1
MSTRG.115	Solyc00g500227.1
MSTRG.116	Solyc00g500228.1
MSTRG.117	lnc_RNA:Solyc00r000180.1
MSTRG.128	Solyc00g500234.1
MSTRG.129	lnc_RNA:Solyc00r000200.1
MSTRG.134	Solyc00g230070.1
MSTRG.136	Solyc00g025290.1
MSTRG.137	Solyc00g500238.1
MSTRG.138	Solyc00g020040.1
MSTRG.139	Solyc00g019980.2
MSTRG.140	Solyc00g019970.2
MSTRG.141	Solyc00g019950.1
MSTRG.145	Solyc00g028960.1
MSTRG.146	Solyc00g500250.1
MSTRG.147	Solyc00g500251.1
MSTRG.151	lnc_RNA:Solyc00r000210.1
MSTRG.153	Solyc00g500259.1
MSTRG.156	Solyc00g500263.1
MSTRG.167	Solyc00g500268.1
MSTRG.172	Solyc00g500273.1
MSTRG.173	lnc_RNA:Solyc00r000280.1
MSTRG.174	Solyc00g500276.1
MSTRG.175	Solyc00g500277.1
MSTRG.183	Solyc00g500292.1
MSTRG.184	Solyc00g500295.1
MSTRG.185	Solyc00g500296.1
MSTRG.186	Solyc00g500297.1
MSTRG.187	Solyc00g500298.1
MSTRG.188	Solyc00g500299.1
MSTRG.189	Solyc00g500300.1
MSTRG.190	Solyc00g500301.1
MSTRG.192	lnc_RNA:Solyc00r000430.1
MSTRG.193	Solyc00g500302.1
MSTRG.194	Solyc00g500303.1
MSTRG.202	lnc_RNA:Solyc00r000490.1
MSTRG.203	Solyc00g500324.1
MSTRG.204	Solyc00g500325.1
MSTRG.205	Solyc00g500326.1
MSTRG.206	Solyc00g500327.1
MSTRG.208	Solyc00g500331.1
MSTRG.209	Solyc00g500339.1
MSTRG.210	Solyc00g500340.1
MSTRG.211	Solyc00g500341.1
