"gene_id","organ","time"
"lnc_RNA:Solyc01r003160.1","Shoot","5"
"lnc_RNA:Solyc01r004430.1","Shoot","30, 60, 70, 80, 90, 105"
"lnc_RNA:Solyc02r012340.1","Shoot","10"
"lnc_RNA:Solyc03r014250.1","Shoot","90, 105"
"lnc_RNA:Solyc06r029330.1","Shoot","30, 80"
"lnc_RNA:Solyc07r036330.1","Shoot","60, 70, 80, 90, 105"
"lnc_RNA:Solyc09r043080.1","Shoot","90"
"lnc_RNA:Solyc12r057240.1","Shoot","80"
"Solyc01g005120.3","Shoot","15, 20, 25, 80, 90, 105"
"Solyc01g005820.4","Shoot","90, 105"
"Solyc01g006500.4","Shoot","90"
"Solyc01g006510.3","Shoot","70, 80, 90, 105"
"Solyc01g006660.3","Shoot","70"
"Solyc01g006970.4","Shoot","105"
"Solyc01g007110.3","Shoot","60, 90"
"Solyc01g007930.4","Shoot","105"
"Solyc01g008170.3","Shoot","50, 60, 70, 80, 90, 105"
"Solyc01g010700.3","Shoot","10"
"Solyc01g058260.4","Shoot","30, 40, 50, 60, 70, 80, 90, 105"
"Solyc01g059870.4","Shoot","105"
"Solyc01g060180.4","Shoot","80"
"Solyc01g079150.4","Shoot","105"
"Solyc01g079600.4","Shoot","70, 80, 90, 105"
"Solyc01g079680.3","Shoot","105"
"Solyc01g079840.3","Shoot","105"
"Solyc01g079870.4","Shoot","80, 90, 105"
"Solyc01g081400.3","Shoot","40"
"Solyc01g086650.3","Shoot","25, 40, 50, 60, 70, 80, 90, 105"
"Solyc01g087490.4","Shoot","105"
"Solyc01g087590.3","Shoot","105"
"Solyc01g090790.4","Shoot","90, 105"
"Solyc01g094950.3","Shoot","10, 15, 60, 70, 80, 90, 105"
"Solyc01g095630.3","Shoot","30, 40, 50, 60, 70"
"Solyc01g095900.4","Shoot","80, 90, 105"
"Solyc01g096610.4","Shoot","60"
"Solyc01g096660.3","Shoot","70, 80, 90, 105"
"Solyc01g096890.4","Shoot","105"
"Solyc01g097330.3","Shoot","105"
"Solyc01g097860.4","Shoot","25"
"Solyc01g100110.4","Shoot","20"
"Solyc01g102270.2","Shoot","5, 10, 15, 20, 25"
"Solyc01g102950.3","Shoot","80, 90, 105"
"Solyc01g103110.3","Shoot","90"
"Solyc01g104160.4","Shoot","60, 105"
"Solyc01g104560.3","Shoot","105"
"Solyc01g104650.3","Shoot","20, 25, 90, 105"
"Solyc01g105120.4","Shoot","105"
"Solyc01g106280.3","Shoot","30, 40, 50, 60, 70, 80, 90, 105"
"Solyc01g106290.3","Shoot","60"
"Solyc01g107290.3","Shoot","60, 70, 80, 90, 105"
"Solyc01g109700.3","Shoot","30, 40, 50, 60, 70, 80, 90, 105"
"Solyc01g109780.3","Shoot","40, 50, 60, 90"
"Solyc01g110310.3","Shoot","25, 30, 40, 50, 60, 70, 80, 90, 105"
"Solyc01g111020.3","Shoot","20"
"Solyc01g111980.3","Shoot","30, 80"
"Solyc01g112000.4","Shoot","20, 25, 30, 40, 50"
"Solyc01g112100.3","Shoot","80"
"Solyc02g005180.3","Shoot","50, 60, 90, 105"
"Solyc02g014090.3","Shoot","60, 70, 80, 90, 105"
"Solyc02g020880.2","Shoot","80, 90, 105"
"Solyc02g031710.3","Shoot","80"
"Solyc02g032120.3","Shoot","70, 80"
"Solyc02g036370.3","Shoot","10, 15"
"Solyc02g050280.4","Shoot","70, 80"
"Solyc02g050330.1","Shoot","80, 90, 105"
"Solyc02g065700.3","Shoot","70, 80"
"Solyc02g067120.4","Shoot","90, 105"
"Solyc02g067340.4","Shoot","10, 15, 20, 70, 80, 90, 105"
"Solyc02g067660.4","Shoot","105"
"Solyc02g069310.3","Shoot","105"
"Solyc02g070300.4","Shoot","105"
"Solyc02g071380.2","Shoot","70, 105"
"Solyc02g072260.4","Shoot","105"
"Solyc02g077330.3","Shoot","70, 80"
"Solyc02g077780.3","Shoot","60, 70, 80"
"Solyc02g078880.4","Shoot","60, 90, 105"
"Solyc02g080070.3","Shoot","90, 105"
"Solyc02g081620.3","Shoot","50, 60, 90, 105"
"Solyc02g082030.3","Shoot","15"
"Solyc02g082490.4","Shoot","60, 90, 105"
"Solyc02g083860.3","Shoot","70, 80, 90, 105"
"Solyc02g084570.4","Shoot","70, 80, 90, 105"
"Solyc02g085000.3","Shoot","90"
"Solyc02g086650.3","Shoot","50, 60, 70, 80, 90, 105"
"Solyc02g086770.3","Shoot","15"
"Solyc02g086930.4","Shoot","90, 105"
"Solyc02g087960.3","Shoot","70, 80, 90, 105"
"Solyc02g088100.3","Shoot","80, 90, 105"
"Solyc02g088230.3","Shoot","70, 80"
"Solyc02g088690.4","Shoot","70, 80"
"Solyc02g089120.4","Shoot","50, 60"
"Solyc02g089540.3","Shoot","70, 80, 90, 105"
"Solyc02g089980.3","Shoot","90"
"Solyc02g090360.3","Shoot","50"
"Solyc02g090380.4","Shoot","70, 80, 90"
"Solyc02g090540.4","Shoot","30, 40, 50, 60, 70, 80, 90, 105"
"Solyc02g091930.3","Shoot","40, 50, 60, 70, 80, 90, 105"
"Solyc02g092750.3","Shoot","80, 90"
"Solyc02g092920.4","Shoot","15, 60, 70, 80, 90, 105"
"Solyc02g094150.4","Shoot","105"
"Solyc03g007480.3","Shoot","15"
"Solyc03g007870.3","Shoot","30, 40, 50, 60, 70, 80, 90, 105"
"Solyc03g025330.4","Shoot","15"
"Solyc03g025710.3","Shoot","15, 20, 70, 80, 90, 105"
"Solyc03g031860.3","Shoot","60, 70, 80, 90, 105"
"Solyc03g044150.4","Shoot","60, 70, 80"
"Solyc03g078570.3","Shoot","90, 105"
"Solyc03g080180.4","Shoot","70, 80, 90, 105"
"Solyc03g093080.3","Shoot","25, 30, 40, 50, 60, 70, 80, 90"
"Solyc03g094160.3","Shoot","90, 105"
"Solyc03g095810.3","Shoot","90"
"Solyc03g097020.4","Shoot","90, 105"
"Solyc03g097170.3","Shoot","25, 70, 80, 90, 105"
"Solyc03g097990.3","Shoot","70, 80, 90, 105"
"Solyc03g098660.3","Shoot","80, 90, 105"
"Solyc03g111700.3","Shoot","50, 60, 70, 80"
"Solyc03g112050.4","Shoot","40, 105"
"Solyc03g112460.3","Shoot","20, 25, 50, 80"
"Solyc03g113920.4","Shoot","80, 90, 105"
