"transcript_id"	"gene_id"
"Solyc00g500001.1.1"	"Solyc00g500001.1"
"MSTRG.1.1"	"MSTRG.1"
"MSTRG.1.2"	"MSTRG.1"
"Solyc00g500002.1.1"	"Solyc00g500002.1"
"Solyc00g500003.1.1"	"Solyc00g500003.1"
"lnc_RNA:Solyc00r000000.1.1"	"lnc_RNA:Solyc00r000000.1"
"Solyc00g500004.1.1"	"Solyc00g500004.1"
"Solyc00g500005.1.1"	"Solyc00g500005.1"
"Solyc00g500006.1.1"	"Solyc00g500006.1"
"Solyc00g500007.1.1"	"Solyc00g500007.1"
"Solyc00g500008.1.1"	"Solyc00g500008.1"
"Solyc00g500009.1.1"	"Solyc00g500009.1"
"Solyc00g500010.1.1"	"Solyc00g500010.1"
"lnc_RNA:Solyc00r000010.1.1"	"lnc_RNA:Solyc00r000010.1"
"Solyc00g500011.1.1"	"Solyc00g500011.1"
"Solyc00g500012.1.1"	"Solyc00g500012.1"
"Solyc00g500013.1.1"	"Solyc00g500013.1"
"Solyc00g500014.1.1"	"Solyc00g500014.1"
"Solyc00g500015.1.1"	"Solyc00g500015.1"
"Solyc00g500016.1.1"	"Solyc00g500016.1"
"Solyc00g500017.1.1"	"Solyc00g500017.1"
"Solyc00g500018.1.1"	"Solyc00g500018.1"
"Solyc00g014290.1.1"	"Solyc00g014290.1"
"Solyc00g005280.1.1"	"Solyc00g005280.1"
"MSTRG.2.1"	"MSTRG.2"
"MSTRG.3.1"	"MSTRG.3"
"Solyc00g500019.1.1"	"MSTRG.4"
"MSTRG.5.1"	"MSTRG.5"
"MSTRG.5.2"	"MSTRG.5"
"Solyc00g500020.1.1"	"MSTRG.6"
"Solyc00g500021.1.1"	"MSTRG.5"
"Solyc00g500022.1.1"	"MSTRG.7"
"Solyc00g180440.1.1"	"MSTRG.5"
"Solyc00g500023.1.1"	"MSTRG.5"
"MSTRG.8.1"	"MSTRG.8"
"Solyc00g500024.1.1"	"MSTRG.8"
"MSTRG.8.2"	"MSTRG.8"
"MSTRG.8.4"	"MSTRG.8"
"MSTRG.8.5"	"MSTRG.8"
"MSTRG.8.6"	"MSTRG.8"
"Solyc00g500025.1.1"	"MSTRG.5"
"Solyc00g500026.1.1"	"MSTRG.8"
"MSTRG.8.7"	"MSTRG.8"
"Solyc00g500027.1.1"	"MSTRG.8"
"Solyc00g500028.1.1"	"MSTRG.8"
"Solyc00g500029.1.1"	"MSTRG.5"
"Solyc00g500030.1.1"	"MSTRG.5"
"Solyc00g500031.1.1"	"MSTRG.5"
"MSTRG.8.11"	"MSTRG.8"
"Solyc00g500032.1.1"	"MSTRG.5"
"MSTRG.8.12"	"MSTRG.8"
"Solyc00g500033.1.1"	"MSTRG.8"
"Solyc00g500034.1.1"	"MSTRG.5"
"Solyc00g500035.1.1"	"MSTRG.5"
"Solyc00g500036.1.1"	"MSTRG.5"
"Solyc00g500037.1.1"	"MSTRG.8"
"Solyc00g500038.1.1"	"MSTRG.8"
"Solyc00g500039.1.1"	"MSTRG.5"
"MSTRG.8.16"	"MSTRG.8"
"Solyc00g500040.1.1"	"MSTRG.8"
"Solyc00g500041.1.1"	"MSTRG.5"
"Solyc00g500042.1.1"	"MSTRG.5"
"Solyc00g500043.1.1"	"MSTRG.5"
"Solyc00g500044.1.1"	"MSTRG.8"
"Solyc00g500045.1.1"	"MSTRG.5"
"Solyc00g500046.1.1"	"MSTRG.5"
"MSTRG.8.19"	"MSTRG.8"
"MSTRG.8.20"	"MSTRG.8"
"Solyc00g500047.1.1"	"MSTRG.8"
"Solyc00g277510.1.1"	"MSTRG.5"
"MSTRG.5.21"	"MSTRG.5"
"Solyc00g500048.1.1"	"MSTRG.5"
"MSTRG.5.23"	"MSTRG.5"
"MSTRG.9.1"	"MSTRG.9"
"Solyc00g500049.1.1"	"MSTRG.9"
"Solyc00g500050.1.1"	"MSTRG.5"
"MSTRG.5.24"	"MSTRG.5"
"Solyc00g500051.1.1"	"MSTRG.5"
"Solyc00g500052.1.1"	"MSTRG.5"
"Solyc00g500053.1.1"	"MSTRG.5"
"MSTRG.10.1"	"MSTRG.10"
"Solyc00g500054.1.1"	"MSTRG.10"
"Solyc00g500055.1.1"	"MSTRG.5"
"Solyc00g500056.1.1"	"MSTRG.5"
"Solyc00g500057.1.1"	"MSTRG.5"
"MSTRG.5.31"	"MSTRG.5"
"MSTRG.5.32"	"MSTRG.5"
"Solyc00g500058.1.1"	"MSTRG.5"
"Solyc00g500059.1.1"	"MSTRG.5"
"Solyc00g500060.1.1"	"MSTRG.5"
"Solyc00g500061.1.1"	"MSTRG.5"
"Solyc00g500062.1.1"	"MSTRG.5"
"Solyc00g500063.1.1"	"MSTRG.11"
"Solyc00g500064.1.1"	"MSTRG.12"
"MSTRG.12.1"	"MSTRG.12"
"Solyc00g500065.1.1"	"MSTRG.13"
"Solyc00g500066.1.1"	"MSTRG.14"
"Solyc00g500067.1.1"	"MSTRG.15"
"Solyc00g500068.1.1"	"MSTRG.12"
"Solyc00g500069.1.1"	"MSTRG.12"
"Solyc00g500070.1.1"	"MSTRG.12"
"Solyc00g500071.1.1"	"MSTRG.16"
"MSTRG.17.1"	"MSTRG.17"
"Solyc00g500072.1.1"	"MSTRG.17"
"Solyc00g500073.1.1"	"MSTRG.17"
"MSTRG.18.1"	"MSTRG.18"
"Solyc00g500074.1.1"	"MSTRG.18"
"Solyc00g500075.1.1"	"MSTRG.18"
"Solyc00g500076.1.1"	"MSTRG.18"
"MSTRG.19.1"	"MSTRG.19"
"MSTRG.19.2"	"MSTRG.19"
"MSTRG.19.3"	"MSTRG.19"
"Solyc00g500077.1.1"	"MSTRG.20"
"MSTRG.19.4"	"MSTRG.19"
"Solyc00g500078.1.1"	"MSTRG.19"
"Solyc00g500079.1.1"	"MSTRG.21"
"Solyc00g500080.1.1"	"MSTRG.22"
"Solyc00g500081.1.1"	"MSTRG.19"
"Solyc00g500082.1.1"	"MSTRG.19"
"Solyc00g500083.1.1"	"MSTRG.23"
"Solyc00g500084.1.1"	"MSTRG.24"
"MSTRG.24.1"	"MSTRG.24"
"Solyc00g500085.1.1"	"MSTRG.24"
"Solyc00g500086.1.1"	"MSTRG.25"
"Solyc00g500087.1.1"	"MSTRG.26"
"Solyc00g500088.1.1"	"MSTRG.27"
"Solyc00g500089.1.1"	"Solyc00g500089.1"
"Solyc00g500090.1.1"	"Solyc00g500090.1"
"Solyc00g500091.1.1"	"Solyc00g500091.1"
"Solyc00g011670.1.1"	"Solyc00g011670.1"
"Solyc00g011660.1.1"	"Solyc00g011660.1"
"Solyc00g500092.1.1"	"Solyc00g500092.1"
"Solyc00g500093.1.1"	"Solyc00g500093.1"
"Solyc00g500094.1.1"	"MSTRG.28"
"MSTRG.29.1"	"MSTRG.29"
"Solyc00g500095.1.1"	"MSTRG.29"
"Solyc00g500096.1.1"	"Solyc00g500096.1"
"Solyc00g011560.1.1"	"Solyc00g011560.1"
"Solyc00g500097.1.1"	"Solyc00g500097.1"
"Solyc00g500098.1.1"	"Solyc00g500098.1"
"Solyc00g500099.1.1"	"Solyc00g500099.1"
"Solyc00g500100.1.1"	"Solyc00g500100.1"
"Solyc00g500101.1.1"	"Solyc00g500101.1"
"Solyc00g500102.1.1"	"MSTRG.30"
"Solyc00g153980.1.1"	"Solyc00g153980.1"
"Solyc00g309530.1.1"	"Solyc00g309530.1"
"Solyc00g164580.1.1"	"Solyc00g164580.1"
"Solyc00g210860.1.1"	"Solyc00g210860.1"
"Solyc00g025400.2.1"	"Solyc00g025400.2"
"MSTRG.31.1"	"MSTRG.31"
"Solyc00g022070.1.1"	"Solyc00g022070.1"
"Solyc00g022080.1.1"	"Solyc00g022080.1"
"Solyc00g022090.1.1"	"MSTRG.32"
"Solyc00g022100.1.1"	"MSTRG.33"
"MSTRG.33.1"	"MSTRG.33"
"Solyc00g500103.1.1"	"MSTRG.33"
"Solyc00g072800.2.1"	"Solyc00g072800.2"
"Solyc00g500104.1.1"	"MSTRG.34"
"Solyc00g500105.1.1"	"Solyc00g500105.1"
"Solyc00g500106.1.1"	"Solyc00g500106.1"
"Solyc00g500107.1.1"	"Solyc00g500107.1"
"Solyc00g500108.1.1"	"Solyc00g500108.1"
"Solyc00g281110.1.1"	"Solyc00g281110.1"
"Solyc00g500109.1.1"	"Solyc00g500109.1"
"Solyc00g500110.1.1"	"Solyc00g500110.1"
"Solyc00g500111.1.1"	"Solyc00g500111.1"
"Solyc00g500112.1.1"	"Solyc00g500112.1"
"Solyc00g142160.1.1"	"Solyc00g142160.1"
"Solyc00g142170.2.1"	"Solyc00g142170.2"
"Solyc00g500113.1.1"	"Solyc00g500113.1"
"Solyc00g500114.1.1"	"Solyc00g500114.1"
"Solyc00g500115.1.1"	"Solyc00g500115.1"
"Solyc00g500116.1.1"	"Solyc00g500116.1"
"MSTRG.35.1"	"MSTRG.35"
"Solyc00g500117.1.1"	"MSTRG.35"
"Solyc00g500118.1.1"	"MSTRG.35"
"Solyc00g500119.1.1"	"MSTRG.35"
"Solyc00g500120.1.1"	"Solyc00g500120.1"
"Solyc00g500121.1.1"	"Solyc00g500121.1"
"MSTRG.36.1"	"MSTRG.36"
"Solyc00g015600.1.1"	"MSTRG.37"
"Solyc00g500122.1.1"	"Solyc00g500122.1"
"lnc_RNA:Solyc00r000020.1.1"	"lnc_RNA:Solyc00r000020.1"
"Solyc00g007330.1.1"	"Solyc00g007330.1"
"Solyc00g007340.1.1"	"Solyc00g007340.1"
"Solyc00g007350.1.1"	"Solyc00g007350.1"
"Solyc00g500123.1.1"	"MSTRG.38"
"MSTRG.39.1"	"MSTRG.39"
"Solyc00g500124.1.1"	"MSTRG.40"
"Solyc00g500125.1.1"	"MSTRG.41"
"Solyc00g500126.1.1"	"MSTRG.42"
"MSTRG.43.1"	"MSTRG.43"
"Solyc00g500127.1.1"	"MSTRG.43"
"Solyc00g500128.1.1"	"MSTRG.43"
"Solyc00g500129.1.1"	"MSTRG.43"
"Solyc00g500130.1.1"	"MSTRG.44"
"Solyc00g500131.1.1"	"MSTRG.45"
"lnc_RNA:Solyc00r000030.1.1"	"MSTRG.46"
"MSTRG.46.1"	"MSTRG.46"
"Solyc00g500132.1.1"	"MSTRG.46"
"lnc_RNA:Solyc00r000040.1.1"	"MSTRG.46"
"Solyc00g500133.1.1"	"MSTRG.47"
"Solyc00g500134.1.1"	"MSTRG.48"
"Solyc00g500135.1.1"	"MSTRG.49"
"MSTRG.50.1"	"MSTRG.50"
"MSTRG.51.1"	"MSTRG.51"
"Solyc00g500136.1.1"	"MSTRG.50"
"Solyc00g500137.1.1"	"MSTRG.51"
"Solyc00g500138.1.1"	"MSTRG.51"
"Solyc00g500139.1.1"	"MSTRG.51"
"Solyc00g500140.1.1"	"MSTRG.52"
"MSTRG.53.1"	"MSTRG.53"
"MSTRG.54.1"	"MSTRG.54"
"Solyc00g500141.1.1"	"MSTRG.54"
"MSTRG.54.3"	"MSTRG.54"
"Solyc00g500142.1.1"	"MSTRG.54"
"Solyc00g500143.1.1"	"MSTRG.54"
"MSTRG.54.5"	"MSTRG.54"
"MSTRG.54.7"	"MSTRG.54"
"Solyc00g500144.1.1"	"MSTRG.54"
"Solyc00g500145.1.1"	"MSTRG.54"
"Solyc00g500146.1.1"	"Solyc00g500146.1"
"Solyc00g500147.1.1"	"Solyc00g500147.1"
"Solyc00g500148.1.1"	"Solyc00g500148.1"
"Solyc00g500149.1.1"	"Solyc00g500149.1"
"Solyc00g500150.1.1"	"Solyc00g500150.1"
"Solyc00g500151.1.1"	"MSTRG.55"
"Solyc00g500152.1.1"	"MSTRG.56"
"Solyc00g500153.1.1"	"MSTRG.57"
"MSTRG.58.1"	"MSTRG.58"
"Solyc00g500154.1.1"	"MSTRG.59"
"Solyc00g500155.1.1"	"MSTRG.60"
"Solyc00g500156.1.1"	"MSTRG.61"
"Solyc00g500157.1.1"	"MSTRG.62"
"Solyc00g500158.1.1"	"MSTRG.63"
"lnc_RNA:Solyc00r000050.1.1"	"lnc_RNA:Solyc00r000050.1"
"Solyc00g500159.1.1"	"Solyc00g500159.1"
"Solyc00g500160.1.1"	"Solyc00g500160.1"
"MSTRG.64.1"	"MSTRG.64"
"MSTRG.64.2"	"MSTRG.64"
"MSTRG.65.1"	"MSTRG.65"
"MSTRG.65.2"	"MSTRG.65"
"MSTRG.65.3"	"MSTRG.65"
"MSTRG.65.4"	"MSTRG.65"
"MSTRG.65.5"	"MSTRG.65"
"MSTRG.65.7"	"MSTRG.65"
"MSTRG.65.6"	"MSTRG.65"
"MSTRG.65.8"	"MSTRG.65"
"MSTRG.65.9"	"MSTRG.65"
"MSTRG.65.10"	"MSTRG.65"
"MSTRG.65.11"	"MSTRG.65"
"MSTRG.65.12"	"MSTRG.65"
"MSTRG.65.13"	"MSTRG.65"
"MSTRG.65.14"	"MSTRG.65"
"MSTRG.66.1"	"MSTRG.66"
"MSTRG.65.15"	"MSTRG.65"
"Solyc00g500161.1.1"	"Solyc00g500161.1"
"Solyc00g500162.1.1"	"Solyc00g500162.1"
"Solyc00g500163.1.1"	"Solyc00g500163.1"
"Solyc00g500164.1.1"	"Solyc00g500164.1"
"Solyc00g500165.1.1"	"Solyc00g500165.1"
"MSTRG.67.1"	"MSTRG.67"
"Solyc00g112190.2.1"	"Solyc00g112190.2"
"lnc_RNA:Solyc00r000060.1.1"	"MSTRG.68"
"Solyc00g500166.1.1"	"MSTRG.69"
"Solyc00g500167.1.1"	"MSTRG.70"
"Solyc00g230080.1.1"	"MSTRG.71"
"Solyc00g316530.1.1"	"MSTRG.72"
"Solyc00g069880.2.1"	"Solyc00g069880.2"
"Solyc00g500168.1.1"	"Solyc00g500168.1"
"MSTRG.73.1"	"MSTRG.73"
"MSTRG.74.1"	"MSTRG.74"
"MSTRG.73.2"	"MSTRG.73"
"MSTRG.73.3"	"MSTRG.73"
"MSTRG.74.2"	"MSTRG.74"
"Solyc00g013100.1.1"	"Solyc00g013100.1"
"Solyc00g013110.1.1"	"Solyc00g013110.1"
"Solyc00g126010.1.1"	"MSTRG.75"
"Solyc00g126000.1.1"	"MSTRG.76"
"Solyc00g125990.1.1"	"MSTRG.77"
"Solyc00g125980.1.1"	"MSTRG.78"
"Solyc00g244300.1.1"	"MSTRG.79"
"Solyc00g244290.1.1"	"MSTRG.80"
"Solyc00g244280.1.1"	"Solyc00g244280.1"
"Solyc00g500169.1.1"	"Solyc00g500169.1"
"Solyc00g500170.1.1"	"Solyc00g500170.1"
"Solyc00g013170.1.1"	"Solyc00g013170.1"
