"time","event","gene_id","strand","ES","EE","I_S1","S_S1","I_S2","S_S2","FDR","dPSI"
70,"SE","Solyc01g005550.3","+",397410,397429,"73,56,59","0,0,0","67,58,54","7,1,18",2.24542657739171e-06,0.132
80,"SE","Solyc01g005550.3","+",397410,397429,"56,55,73","0,0,0","76,81,57","18,3,18",1.50828793010665e-08,0.171
90,"SE","Solyc01g005550.3","+",397410,397429,"133,136,58","0,4,0","66,72,83","11,20,20",1.12504600230682e-13,0.193
105,"SE","Solyc01g005550.3","+",397410,397429,"45,100,66","0,0,0","67,45,29","8,8,5",9.25853262351229e-08,0.15
120,"SE","Solyc01g005550.3","+",397410,397429,"70,53,56","0,0,0","59,58,70","15,3,15",6.99978617207038e-09,0.158
90,"SE","Solyc01g057760.4","+",56849631,56849869,"73,92,54","106,119,108","9,22,24","78,87,57",2.85428581951039e-05,0.131
105,"SE","Solyc01g057760.4","+",56849631,56849869,"83,75,65","113,90,90","27,16,17","93,110,67",6.14334567729251e-10,0.173
120,"SE","Solyc01g057760.4","+",56849631,56849869,"89,54,45","101,75,90","15,21,14","78,66,73",1.13439884760858e-06,0.153
90,"SE","Solyc01g065560.4","-",64663570,64663782,"44,94,84","9,0,1","45,39,38","8,21,8",0.000719265334377509,0.255
105,"SE","Solyc01g065560.4","-",64663570,64663782,"46,47,59","0,0,2","45,32,39","0,15,7",0.00021497248471112,0.228
120,"SE","Solyc01g065560.4","-",64663570,64663782,"99,63,37","0,7,0","31,43,75","10,11,10",0.000167562391331378,0.253
40,"SE","Solyc01g073660.3","-",73473060,73473104,"10,28,20","0,0,0","17,22,23","6,5,7",4.68244718923938e-06,0.275
80,"SE","Solyc01g073660.3","-",73473060,73473104,"38,23,20","0,0,3","22,16,10","8,6,2",0.000293831243844328,0.23
90,"SE","Solyc01g073660.3","-",73473060,73473104,"25,39,51","0,1,0","28,18,26","6,6,5",1.14218274274701e-06,0.229
90,"SE","Solyc01g073660.3","-",73473061,73473130,"82,91,76","0,1,0","49,56,42","6,6,5",3.9181801006205e-06,0.14
120,"SE","Solyc01g073660.3","-",73473060,73473104,"31,14,28","0,0,0","15,15,14","0,7,2",0.000629527901889984,0.178
50,"SE","Solyc01g088100.4","+",75205838,75205974,"137,171,181","26,0,21","181,125,125","58,47,41",5.2978088507197e-05,0.245
50,"SE","Solyc01g088100.4","+",75205870,75205974,"164,191,206","26,0,21","211,153,144","58,47,41",9.3043868216814e-06,0.209
50,"SE","Solyc01g088100.4","+",75205838,75206089,"238,277,274","26,0,21","303,291,284","58,47,41",0.000124924002321558,0.144
50,"SE","Solyc01g088100.4","+",75205870,75206089,"262,298,306","26,0,21","337,317,313","58,47,41",7.91564134893868e-05,0.135
90,"SE","Solyc01g088100.4","+",75205870,75205974,"190,190,173","32,23,12","145,156,235","60,54,76",1.24447104459696e-07,0.213
90,"SE","Solyc01g088100.4","+",75205870,75206089,"217,323,293","32,23,12","383,300,346","60,54,76",0.000463565452631119,0.127
90,"SE","Solyc01g088100.4","+",75205873,75205974,"533,640,465","32,23,12","494,455,556","60,54,76",2.73876339447628e-10,0.11
105,"SE","Solyc01g088100.4","+",75205847,75205974,"74,114,161","13,26,5","176,104,122","63,60,55",7.98669346454389e-05,0.258
105,"SE","Solyc01g088100.4","+",75205870,75205974,"87,131,171","13,26,5","209,145,157","63,60,55",6.53650382441276e-05,0.208
105,"SE","Solyc01g088100.4","+",75205847,75206089,"154,203,176","13,26,5","322,236,263","63,60,55",5.42984279646408e-05,0.17
105,"SE","Solyc01g088100.4","+",75205870,75206089,"166,221,188","13,26,5","355,271,295","63,60,55",8.29115966998142e-05,0.155
105,"SE","Solyc01g088100.4","+",75205873,75205974,"302,402,452","13,26,5","641,434,444","63,60,55",1.6819680299038e-08,0.106
120,"SE","Solyc01g088100.4","+",75205870,75206232,"18,19,21","8,17,12","26,33,32","65,61,79",0.000199888471313571,0.269
120,"SE","Solyc01g088100.4","+",75205870,75205974,"155,113,148","8,17,12","182,145,208","65,61,79",7.29793309118306e-11,0.26
120,"SE","Solyc01g088100.4","+",75205870,75206089,"251,209,255","8,17,12","294,279,390","65,61,79",1.87042689029192e-12,0.204
120,"SE","Solyc01g088100.4","+",75205873,75206232,"372,303,327","8,17,12","364,325,531","65,61,79",0,0.185
120,"SE","Solyc01g088100.4","+",75205873,75205974,"519,426,440","8,17,12","536,415,698","65,61,79",0,0.132
120,"SE","Solyc01g088100.4","+",75205873,75206089,"605,493,561","8,17,12","632,571,889","65,61,79",2.76541610125386e-14,0.122
80,"SE","Solyc01g091780.4","+",77597021,77597111,"190,159,161","0,0,0","155,123,128","6,18,6",2.78526301431817e-08,0.106
90,"SE","Solyc01g091780.4","+",77597031,77597111,"8,5,0","3,7,2","1,0,0","11,25,9",0.000199132187593065,0.298
90,"SE","Solyc01g091780.4","+",77597021,77597111,"241,310,199","3,7,2","135,124,173","11,25,9",3.33354337858162e-07,0.122
90,"SE","Solyc01g091780.4","+",77597078,77597140,"166,194,135","3,7,2","103,118,131","11,25,9",6.34055828377492e-06,0.119
105,"SE","Solyc01g091780.4","+",77597021,77597111,"170,184,183","0,0,8","119,123,129","27,25,10",1.58890603122874e-11,0.186
105,"SE","Solyc01g091780.4","+",77597031,77597140,"229,214,283","0,0,8","233,209,215","27,25,10",2.70130900944674e-10,0.122
105,"SE","Solyc01g094210.2","+",78030294,78030354,"615,613,583","6,0,9","610,452,368","50,44,39",0,0.106
120,"SE","Solyc01g094210.2","+",78030294,78030354,"649,419,505","6,0,7","396,420,466","31,54,45",0,0.113
50,"SE","Solyc01g094570.3","+",78255549,78255909,"3,7,10","0,0,0","0,1,5","3,0,5",4.93988380085684e-05,0.556
50,"SE","Solyc01g094570.3","+",78255549,78255895,"21,17,11","0,0,0","8,3,14","3,0,5",0.00031961382051257,0.282
70,"SE","Solyc01g094570.3","+",78255549,78255895,"9,13,8","0,0,0","19,12,5","3,4,3",8.86964508384239e-06,0.395
70,"SE","Solyc01g094570.3","+",78255836,78255909,"28,32,31","0,0,0","15,20,25","3,4,3",0.000203924709368618,0.204
90,"SE","Solyc01g094570.3","+",78255836,78255895,"24,27,21","8,4,0","28,3,25","0,0,0",0.00029335827258286,-0.163
105,"SE","Solyc01g094570.3","+",78255549,78255909,"10,6,1","0,0,0","2,4,0","5,7,5",7.62902472675872e-13,0.87
105,"SE","Solyc01g094570.3","+",78255549,78255895,"19,5,5","0,0,0","22,5,4","5,7,5",4.4629755464848e-08,0.588
105,"SE","Solyc01g094570.3","+",78255836,78255909,"25,30,21","0,0,0","23,8,11","5,7,5",3.33680640281101e-08,0.405
105,"SE","Solyc01g094570.3","+",78255836,78255895,"43,37,27","0,0,0","65,14,22","5,7,5",3.68445123888398e-06,0.25
120,"SE","Solyc01g094570.3","+",78255556,78255895,"15,16,3","0,0,0","3,5,1","5,3,0",4.40523609760851e-05,0.438
120,"SE","Solyc01g094570.3","+",78255549,78255895,"18,18,3","0,0,0","5,4,3","5,3,0",6.64634411859113e-05,0.422
50,"SE","Solyc01g095460.3","+",78968745,78968896,"70,67,68","0,0,0","49,47,55","3,6,2",0.000658298852388003,0.127
70,"SE","Solyc01g095460.3","+",78968711,78968945,"79,66,67","0,0,0","66,63,67","7,5,7",1.7380352038834e-06,0.162
70,"SE","Solyc01g095460.3","+",78968727,78968945,"80,66,67","0,0,0","66,63,70","7,5,7",1.90853846049648e-06,0.16
70,"SE","Solyc01g095460.3","+",78968896,78968945,"71,66,67","0,0,0","64,63,62","7,5,7",7.9603795599581e-06,0.117
80,"SE","Solyc01g095460.3","+",78968727,78969171,"2,3,1","0,0,0","1,2,1","7,3,6",1.3357520218162e-12,0.869
80,"SE","Solyc01g095460.3","+",78968745,78969171,"58,21,39","0,0,0","44,31,38","7,3,6",4.4600066317426e-06,0.214
80,"SE","Solyc01g095460.3","+",78968727,78968945,"72,62,55","0,0,0","64,52,60","7,3,6",1.53473602647727e-05,0.15
80,"SE","Solyc01g095460.3","+",78968896,78968945,"67,59,52","0,0,0","59,55,58","7,3,6",9.14568767777739e-05,0.108
90,"SE","Solyc01g095460.3","+",78968745,78969171,"55,62,57","0,2,0","37,52,35","5,7,10",6.53594342861433e-07,0.243
90,"SE","Solyc01g095460.3","+",78968745,78968794,"52,51,58","0,2,0","34,48,35","5,7,10",1.15327199149337e-06,0.183
90,"SE","Solyc01g095460.3","+",78968727,78968794,"47,84,46","0,0,0","84,100,92","14,8,7",6.36143031405232e-07,0.133
90,"SE","Solyc01g095460.3","+",78968727,78968945,"63,120,81","0,2,0","104,76,114","5,7,10",3.50908012588915e-05,0.12
105,"SE","Solyc01g095460.3","+",78968727,78968794,"36,55,50","0,0,0","105,79,85","31,12,10",9.02484155344338e-10,0.209
