"time","event","gene_id","strand","ri_ES","ri_EE","I_S1","S_S1","I_S2","S_S2","FDR","dPSI"
90,"RI","Solyc01g005810.3","+",541548,542042,"9,2,4","7,0,0","0,4,0","1,18,2",0.000301470750670509,0.775
90,"RI","Solyc01g005810.3","+",541548,542042,"20,32,17","0,0,2","16,22,16","4,5,2",0.000844632826134362,0.202
105,"RI","Solyc01g005810.3","+",541548,542042,"28,17,16","0,0,0","18,22,12","6,4,1",7.27386753785277e-06,0.249
50,"RI","Solyc01g006000.3","+",674271,674578,"13,34,53","4,5,4","10,19,8","15,9,22",6.10068447437717e-05,0.445
60,"RI","Solyc01g006000.3","+",674286,674578,"18,34,32","5,10,5","10,19,6","13,14,17",0.00021875325785192,0.403
70,"RI","Solyc01g006000.3","+",674271,674578,"33,13,33","13,0,3","14,5,16","13,10,31",2.84618486194745e-05,0.541
80,"RI","Solyc01g006000.3","+",674286,674578,"43,30,26","1,5,5","6,4,10","3,15,13",1.01057001231057e-05,0.503
90,"RI","Solyc01g006000.3","+",674286,674578,"28,32,29","0,8,4","11,7,4","17,13,14",2.28424553843045e-09,0.618
105,"RI","Solyc01g006000.3","+",674271,674578,"16,9,26","6,3,3","2,2,6","17,11,3",0.000260949785269428,0.459
120,"RI","Solyc01g006000.3","+",674286,674578,"27,24,22","3,1,7","3,2,8","13,25,23",4.65714423547043e-14,0.695
10,"RI","Solyc01g006900.3","-",1480971,1481381,"6,5,7","0,0,0","0,6,1","13,2,18",1.28892196061262e-11,0.791
15,"RI","Solyc01g006900.3","-",1480971,1481381,"5,5,13","19,4,4","0,0,1","12,12,1",0.000211360688977336,0.262
25,"RI","Solyc01g006900.3","-",1480971,1481381,"3,2,2","0,0,0","5,5,9","11,14,11",1.55806085426643e-06,0.791
90,"RI","Solyc01g006930.3","+",1516030,1516356,"0,0,0","20,15,15","1,4,8","11,7,6",9.68915439196045e-06,-0.261
105,"RI","Solyc01g006930.3","+",1517411,1517809,"2,2,4","0,0,0","10,5,1","12,4,0",5.1916479659575e-06,0.424
120,"RI","Solyc01g006930.3","+",1517411,1517809,"4,5,1","0,0,0","5,3,9","12,0,4",2.28162682330384e-05,0.418
105,"RI","Solyc01g007100.3","-",1663479,1663778,"47,22,22","0,0,0","65,39,35","5,1,8",8.83609068548046e-05,0.153
120,"RI","Solyc01g007100.3","-",1663479,1663913,"39,16,32","0,1,0","57,70,58","7,5,4",0.000520023199214161,0.111
70,"RI","Solyc01g008850.3","+",2829294,2829581,"219,196,154","1847,1693,1402","548,462,485","768,670,694",0,-0.217
70,"RI","Solyc01g008850.3","+",2828196,2828636,"24,53,40","1795,1584,1233","338,269,262","586,568,563",0,-0.188
70,"RI","Solyc01g008850.3","+",2828926,2829201,"58,62,18","1816,1734,1387","176,162,126","699,722,646",0,-0.106
80,"RI","Solyc01g008850.3","+",2829294,2829581,"163,118,191","1545,1330,1440","299,527,339","672,549,578",0,-0.204
90,"RI","Solyc01g008850.3","+",2829294,2829581,"145,299,159","1147,1778,1471","570,777,797","677,653,768",0,-0.288
90,"RI","Solyc01g008850.3","+",2828880,2829199,"34,46,26","1364,2014,1229","201,214,319","637,657,710",0,-0.17
105,"RI","Solyc01g008850.3","+",2828221,2828636,"1,22,19","1148,1184,1147","452,490,356","670,537,510",0,-0.269
105,"RI","Solyc01g008850.3","+",2828589,2829003,"71,43,54","1172,1209,1155","258,224,195","892,808,698",0,-0.13
105,"RI","Solyc01g008850.3","+",2827991,2828288,"5,14,12","1075,1133,1070","265,175,135","747,693,611",0,-0.121
105,"RI","Solyc01g008850.3","+",2828589,2828811,"67,27,27","1429,1426,1277","299,250,182","1123,1027,903",0,-0.113
120,"RI","Solyc01g008850.3","+",2829294,2829581,"125,97,143","1150,956,1083","782,1213,835","604,727,741",0,-0.365
