"time","event","gene_id","strand","F_ES","F_EE","S_ES","S_EE","I_S1","S_S1","I_S2","S_S2","FDR","dPSI"
15,"MXE","Solyc01g100970.3","+",83125634,83125720,83126286,83126503,"1,0,9","0,7,12","4,3,6","0,0,0",6.88452118681676e-05,-0.504
20,"MXE","Solyc01g100970.3","+",83125634,83125695,83126286,83126503,"0,0,0","1,2,3","1,6,1","7,2,2",4.84258525722783e-05,-0.465
20,"MXE","Solyc01g100970.3","+",83125634,83125695,83126065,83126503,"0,0,0","7,6,5","1,6,1","8,4,2",4.22199811546631e-05,-0.415
70,"MXE","Solyc01g100970.3","+",83125634,83125720,83126065,83126503,"0,0,2","9,5,11","7,4,4","1,5,4",3.36515155296663e-06,-0.592
120,"MXE","Solyc01g100970.3","+",83125634,83125720,83126065,83126503,"0,2,3","12,3,6","3,1,5","0,2,0",0.000195905180451982,-0.514
10,"MXE","Solyc01g108500.4","-",88123632,88123730,88124383,88124659,"8,3,2","6,28,15","0,1,0","19,13,8",0.000955879838922574,0.216
10,"MXE","Solyc01g108500.4","-",88123560,88123730,88124383,88124659,"8,3,2","12,25,31","0,1,0","15,19,18",0.000861213474412189,0.173
15,"MXE","Solyc01g108500.4","-",88123632,88123730,88124383,88124659,"5,19,20","8,14,20","1,3,0","8,23,15",6.43131089634026e-07,0.377
15,"MXE","Solyc01g108500.4","-",88123560,88123730,88124383,88124659,"5,19,20","13,18,25","1,3,0","13,30,27",1.824779775672e-07,0.358
70,"MXE","Solyc01g108500.4","-",88122171,88122376,88122672,88122765,"2,4,10","0,10,8","7,3,3","0,0,0",1.27175504924672e-05,-0.355
70,"MXE","Solyc01g108500.4","-",88122171,88122376,88122672,88122717,"6,3,15","0,10,8","19,1,8","0,0,0",7.08325843530031e-05,-0.314
70,"MXE","Solyc01g108500.4","-",88122171,88122376,88122672,88122775,"3,18,12","0,10,8","9,5,3","0,0,0",1.15228172612154e-05,-0.227
90,"MXE","Solyc01g108500.4","-",88122171,88122376,88122672,88122717,"9,7,4","0,2,3","2,3,0","6,4,10",0.000870006604789263,0.547
90,"MXE","Solyc02g005180.3","+",6944155,6944215,6944498,6944713,"65,55,65","5,12,6","35,42,98","18,20,34",0.000145821375733116,0.155
105,"MXE","Solyc02g005180.3","+",6943967,6944057,6944498,6944713,"47,94,69","10,16,0","63,59,60","19,34,21",0.000169252215571968,0.155
105,"MXE","Solyc02g005180.3","+",6943967,6944057,6944460,6944713,"47,94,69","10,14,0","63,59,60","19,27,18",0.00037239886832081,0.135
40,"MXE","Solyc03g062665.1","+",27799177,27799340,27799991,27800038,"1,9,5","8,11,20","20,28,7","7,11,5",0.000595242644770539,-0.397
80,"MXE","Solyc03g062665.1","+",27799177,27799340,27799991,27800022,"9,17,3","4,2,3","36,19,19","0,0,1",0.000209682000816872,-0.377
105,"MXE","Solyc03g062665.1","+",27799177,27799340,27799856,27800022,"3,5,12","8,19,13","9,41,23","7,13,0",0.000516024551195893,-0.453
120,"MXE","Solyc03g062665.1","+",27799177,27799340,27799852,27800170,"1,5,9","3,3,3","34,27,23","0,0,0",6.19139575887723e-06,-0.458
120,"MXE","Solyc03g062665.1","+",27799177,27799340,27799991,27800170,"1,5,9","1,7,3","34,27,23","0,0,0",5.0282139112407e-07,-0.444
120,"MXE","Solyc03g062665.1","+",27799174,27799340,27799852,27800170,"9,22,21","3,3,3","57,52,41","0,0,0",0.000464234070497054,-0.165
120,"MXE","Solyc03g062665.1","+",27799174,27799340,27799991,27800170,"9,22,21","1,7,3","57,52,41","0,0,0",2.27572834898024e-05,-0.155
20,"MXE","Solyc03g093390.4","-",49212085,49212262,49212331,49212447,"40,23,18","12,0,5","48,53,31","30,53,28",0.000156052631364905,0.288
