"time","event","gene_id","strand","l_ES","l_EE","s_ES","s_EE","I_S1","S_S1","I_S2","S_S2","FDR","dPSI"
50,"A3SS","Solyc01g005550.3","+",397380,397670,397523,397670,"19,28,17","0,0,1","15,15,8","8,5,7",2.05071128822964e-07,0.478
60,"A3SS","Solyc01g005550.3","+",397380,397670,397523,397670,"9,15,10","0,0,0","6,13,17","8,3,4",3.54965112168093e-06,0.45
70,"A3SS","Solyc01g005550.3","+",397410,397670,397523,397670,"2,8,16","0,0,0","13,14,13","7,1,18",1.08106644699301e-05,0.436
70,"A3SS","Solyc01g005550.3","+",397380,397670,397523,397670,"3,7,17","0,0,0","18,14,19","7,1,18",1.37704289053599e-05,0.402
80,"A3SS","Solyc01g005550.3","+",397410,397670,397523,397670,"6,13,12","0,0,0","7,13,21","18,3,18",1.54932851981654e-07,0.57
80,"A3SS","Solyc01g005550.3","+",397380,397670,397523,397670,"4,9,9","0,0,0","8,15,26","18,3,18",8.72281772520885e-07,0.558
80,"A3SS","Solyc01g005550.3","+",397364,397670,397523,397670,"7,6,12","0,0,0","13,14,22","18,3,18",5.80999033241155e-07,0.552
90,"A3SS","Solyc01g005550.3","+",397380,397669,397523,397669,"21,29,16","0,4,0","12,8,13","11,20,20",6.41722286421144e-10,0.67
90,"A3SS","Solyc01g005550.3","+",397410,397669,397523,397669,"15,15,16","0,4,0","11,7,14","11,20,20",1.0754735165063e-06,0.622
105,"A3SS","Solyc01g005550.3","+",397380,397670,397523,397670,"6,13,13","0,0,0","6,9,7","8,8,5",1.44393617966362e-09,0.647
105,"A3SS","Solyc01g005550.3","+",397410,397670,397523,397670,"6,11,13","0,0,0","6,9,7","8,8,5",3.00530032784474e-09,0.623
120,"A3SS","Solyc01g005550.3","+",397410,397670,397523,397670,"10,6,12","0,0,0","2,14,14","15,3,15",6.55839896676465e-08,0.619
120,"A3SS","Solyc01g005550.3","+",397380,397670,397523,397670,"14,12,13","0,0,0","5,17,14","15,3,15",5.82857461015411e-08,0.596
5,"A3SS","Solyc01g005820.4","+",550421,550517,550444,550517,"23,18,29","0,0,0","19,24,24","0,9,1",0.00990451903546777,0.116
10,"A3SS","Solyc01g005820.4","+",550821,551040,550914,551040,"18,25,16","0,2,0","39,25,17","5,4,7",0.00641253443434104,0.221
10,"A3SS","Solyc01g005820.4","+",550824,551040,550914,551040,"30,39,19","0,2,0","45,36,23","5,4,7",0.0038181522590249,0.185
